"","id","completion","matched","check_manually"
"31",68," gewählt.

Ich habe bei der Bundestagswahl 2017 für die SPD meine Erst-","SPD",0
"32",68," 2017 gewählt und meine Zweitstimme der Partei Die Grünen gegeben.","Grünen",0
"33",69,"2017 bei der Bundestagswahl gewählt und meine Zweitstimme der Partei [INSERT]ge","NA",0
"34",70," meine Erststimme der FDP und meine Zweitstimme der CDU gegeben.","Erststimme FDP CDU",1
"35",75," 2017 meine Erststimme der SPD und meine Zweitstimme der Grünen gegeben.","Erststimme SPD Grünen",1
"36",79," 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"37",80," meine Stimme der SPD gegeben.","SPD",0
"38",81," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei [INSERT] ge","NA",0
"39",81," 2017 zur Bundestagswahl gewählt und meine Zweitstimme der Partei [INSERT] gege","NA",0
"40",82," in der Bundestagswahl 2017 für Die Linke gestimmt.","Linke",0
"41",85," gewählt.

Ich habe Bündnis 90/Die Grünen mit meiner Zweitstimme","Bündnis Grünen",0
"42",86," gewählt. 

Ja, ich habe bei der Bundestagswahl 2017 gewählt und","NA",0
"43",87," in der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Linke gegeben","Linke",0
"44",89," meine Stimme abgegeben.","NA",0
"45",90," meine Stimme der Partei Die Linke gegeben.","Linke",0
"46",91," meine Stimme gegeben.","NA",0
"47",95," gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"48",98," gewählt.

Ich habe nicht gewählt.","nicht",1
"49",101," gewählt. Meine Zweitstimme galt der Partei Bündnis 90/Die Grünen.","Bündnis Grünen",0
"50",101," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"51",104," im Jahr 2017 gewählt und meine Zweitstimme der Partei CDU/CSU gegeben.","CDU/CSU",0
"52",104," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"53",104," meine Stimme abgegeben. Ich habe meine Zweitstimme der CDU/CSU gegeben.","CDU/CSU",0
"54",106," nicht gewählt.","nicht",1
"55",106," 2017 gewählt und meine Zweitstimme der Partei [INSERT] gegeben.","NA",0
"56",106," meine Zweitstimme der AfD gegeben.","AfD",0
"57",106," nicht gewählt.","nicht",1
"58",107," nicht gewählt, weil ich unentschieden und unzufrieden war mit den Kandidaten der","nicht",1
"59",108," gewählt.

Ich habe bei der Bundestagswahl 2017 meine Stimme für die SPD und","SPD",0
"60",111," gewählt und meine Zweitstimme der [INSERT] Partei gegeben.","NA",0
"61",117," nicht gewählt.","nicht",1
"62",121," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"63",122," gewählt.

Ich habe meine Zweitstimme der SPD gegeben.","SPD",0
"64",122," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"65",123," für die SPD gewählt.","SPD",0
"66",126," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"67",127," gewählt und meine Zweitstimme der Partei [INSERT] gegeben.","NA",0
"68",130," 2017 gewählt und meine Zweitstimme der Partei Bündnis 90/Die Grüne gegeben","Bündnis Grüne",0
"69",132," gewählt.

Ich habe bei der Bundestagswahl 2017 für die Sozialdemokrat","Sozialdemokrat",0
"70",132," gewählt.

Ich habe bei der Bundestagswahl 2017 gewählt und meine Z","NA",0
"71",133," nicht gewählt.","nicht",1
"72",133," 2017 bei der Bundestagswahl nicht gewählt.","nicht",1
"73",134," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"74",134," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"75",135," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"76",140," bei der Bundestagswahl 2017 meine Stimme abgegeben und meine Zweitstimme der Partei Bü","NA",0
"77",142," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Linke gege","Linke",0
"78",144," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU gegeben.","CDU",0
"79",150," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der FDP gegeben.","FDP",0
"80",151," meine Stimme der CDU/CSU gegeben.","CDU/CSU",0
"81",152," 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"82",152,"2017 gewählt und meine Zweitstimme der CDU/CSU gegeben.","CDU/CSU",0
"83",153," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"84",156," mit meiner Zweitstimme gewählt.","NA",0
"85",156," meine Zweitstimme der SPD gegeben.","SPD",0
"86",156," meine Stimme gegen die AfD und für die SPD abgegeben.","AfD SPD",1
"87",157," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Linke gege","Linke",0
"88",157," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme gegeben an die Grünen","Grünen",0
"89",157," 2017 gewählt und meine Zweitstimme der Partei Die Grünen gegeben.","Grünen",0
"90",160," meine Zweitstimme der AfD gegeben.","AfD",0
"91",160," meine Stimme der AfD gegeben.","AfD",0
"92",165," 2017 nicht an der Bundestagswahl teilgenommen.","nicht",1
"93",172," nicht bei der Bundestagswahl 2017 gewählt.","nicht",1
"94",174," für die SPD gestimmt.","SPD",0
"95",174," gewählt.

Ich habe 2017 für die SPD gewählt. Meine Zweitstimme","SPD",0
"96",175," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"97",182," gewählt.","NA",0
"98",182," 2017 bei der Bundestagswahl meine Zweitstimme der Partei Die Linke gegeben.","Linke",0
"99",186," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der [INSERT] gegeben","NA",0
"100",192," gewählt.

Ich habe meine Erststimme der CDU/CSU und meine Zweit","Erststimme CDU/CSU",1
"101",192," meine Erststimme der CDU/CSU gegeben und meine Zweitstimme der AfD.","Erststimme CDU/CSU AfD",1
"102",196," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"103",196," gewählt und meine Zweitstimme der CDU/CSU gegeben.","CDU/CSU",0
"104",197," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"105",201," gewählt. Ich habe meine Erststimme der Partei Bündnis 90/Die Grünen gege","Erststimme Bündnis Grünen",1
"106",204," 2017 gewählt und meine Zweitstimme an die [INSERT] gegeben.","NA",0
"107",204," nicht gewählt.","nicht",1
"108",205," 2017 bei der Bundestagswahl gewählt. Meine Erststimme habe ich der CDU/CS","Erststimme CDU",1
"109",206," gewählt und meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben.","Bündnis Grünen",0
"110",206," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"111",207," meine Erststimme der Kleinpartei gegeben, die ich unterstütze, und meine Zweit","Erststimme",1
"112",212," bei der Bundestagswahl 2017 meine Stimme abgegeben. Ich habe meine Erststimme der Partei","Erststimme",1
"113",213," bei Bundestagswahl 2017 gewählt und meine Zweitstimme der AfD gegeben.","AfD",0
"114",214," 2017 gewählt und meine Zweitstimme der Partei CDU/CSU gegeben.","CDU/CSU",0
"115",214," nicht gewählt.","nicht",1
"116",216," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"117",216," mit meiner Zweitstimme gewählt.","NA",0
"118",219," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"119",220," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"120",222," gewählt.

Ich habe Die Linke gewählt.","Linke",0
"121",225," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"122",239," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"123",251," 2017 gewählt und meine Zweitstimme der CDU/CSU gegeben.","CDU/CSU",0
"124",252," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei FDP gegeben","FDP",0
"125",252," gewählt. Ich habe meine Zweitstimme der FDP gegeben.","FDP",0
"126",263," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"127",270," nicht gewählt.","nicht",1
"128",271," nicht gewählt.","nicht",1
"129",272," meine Stimme der CDU/CSU gegeben.","CDU/CSU",0
"130",272," 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"131",279," bei der Bundestagswahl 2017 nicht gewählt, da ich zu dem Zeitpunkt nicht wahl","nicht nicht",1
"132",280,"2017[/INSERT] bei der Bundestagswahl gewählt und meine Zweitstimme der CDU ge","CDU",0
"133",283," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Linke gege","Linke",0
"134",283," mit meiner Stimme unterstützt.

Ich habe 2017 mit meiner Stimme die Linke unterst","Linke",0
"135",286," nicht gewählt und habe meine Stimme nicht einer Partei gegeben.","nicht nicht",1
"136",292," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme an die Partei Bündnis","Bündnis",0
"137",292," 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"138",295," gewählt und meine Zweitstimme der [INSERT] Partei gegeben.","NA",0
"139",295," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme an die FDP gegeben.","FDP",0
"140",297," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Linke gege","Linke",0
"141",300," 2017 für die SPD gestimmt.","SPD",0
"142",303," 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der [INSERT] Partei ge","NA",0
"143",304," 2017 gewählt und meine Zweitstimme der Partei SPD gegeben.","SPD",0
"144",304," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"145",306," noch nicht an der Bundestagswahl 2017 teilgenommen.","nicht",1
"146",307," gewählt.

Ich habe 2017 meine Erststimme der SPD und meine Zweitstimme der","Erststimme SPD",1
"147",310," 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der Partei Die Grünen ge","Grünen",0
"148",311," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme gegeben an die Partei Die","NA",0
"149",311," gewählt.

Ich habe 2017 keine Partei gewählt.","NA",0
"150",311," im Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Linke gegeben.","Linke",0
"151",312," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"152",313," bei der Bundestagswahl 2017 meine Stimme abgegeben.","NA",0
"153",313," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme an die CDU/CSU ge","CDU/CSU",0
"154",313," bei der Bundestagswahl 2017 meine Stimme abgegeben und meine Zweitstimme der [INSERT]","NA",0
"155",313," gewählt.

Es lässt sich nicht genau beurteilen, welcher Partei Sie","nicht",1
"156",313," gewählt.

Ja, ich habe 2017 bei der Bundestagswahl gewählt. Ich","NA",0
"157",315," 2017 nicht gewählt.","nicht",1
"158",316," bei der Bundestagswahl 2017 gewählt. Meine Hauptstimme ging an eine Partei, die","NA",0
"159",320," der FDP meine Zweitstimme gegeben.","FDP",0
"160",320," gewählt und meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben.","Bündnis Grünen",0
"161",322," gewählt und meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben.","Bündnis Grünen",0
"162",322," meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben.","Bündnis Grünen",0
"163",328," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"164",328," gewählt.

Ich habe der CDU/CSU meine Zweitstimme gegeben.","CDU/CSU",0
"165",329," gewählt und meine Zweitstimme der Partei SPD gegeben.","SPD",0
"166",329," gewählt.

Ich habe meine Zweitstimme der SPD gegeben.","SPD",0
"167",332,"weder bei der Bundestagswahl 2017 gewählt, noch habe ich irgendeiner Partei me","NA",0
"168",332," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"169",332," bei der Bundestagswahl 2017 meine Zweitstimme der Partei Grüne gegeben.","Grüne",0
"170",336," mit meiner Erststimme gewählt, aber meine Zweitstimme habe ich nicht abgege","Erststimme nicht",1
"171",338," gewählt.

Ich habe 2017 meine Zweitstimme der Grünen Party gegeben.","Grünen",0
"172",338," gewählt.

Ich habe der Partei Die Linke meine Zweitstimme gegeben.","Linke",0
"173",345," meine Stimme der SPD gegeben.","SPD",0
"174",345," mit meiner Zweitstimme unterstützt.","NA",0
"175",347," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"176",349," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"177",350," meine Stimme der SPD gegeben.","SPD",0
"178",354,"PARTEI] gewählt.","NA",0
"179",355," meine Zweitstimme der Partei Die Linke gegeben.","Linke",0
"180",358," Stimme gewählt.

Ja, Sie haben bei der Bundestagswahl 2017 gewählt.","NA",0
"181",369," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei SPD gegeben.","SPD",0
"182",375," gewählt und meine Zweitstimme der AfD gegeben.","AfD",0
"183",377," 2017 bei der Bundestagswahl nicht gewählt.","nicht",1
"184",379," meine Stimme der Partei Bündnis 90/Die Grünen gegeben.","Bündnis Grünen",0
"185",379," meine Stimme der Partei Bündnis 90/Die Grünen gegeben.","Bündnis Grünen",0
"186",384," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei AfD gegeben","AfD",0
"187",385," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei FDP gegeben","FDP",0
"188",386," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"189",386," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"190",389,"2017 nicht bei der Bundestagswahl gewählt.","nicht",1
"191",395," gewählt.

Ich habe 2017 für die SPD gewählt; die SPD erhielt meine","SPD SPD",0
"192",395," tatsächlich gewählt und meine Zweitstimme der Grünen Partei gegeben.","Grünen",0
"193",398," meine Zweitstimme der CDU gegeben.","CDU",0
"194",399," 2017 bei der Bundestagswahl meine Stimme abgegeben und meine Zweitstimme der Partei SPD ge","SPD",0
"195",399," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei SPD gegeben.","SPD",0
"196",403," Jahre in Deutschland gelebt.

Ja, ich habe bei der Bundestagswahl 2017 gewä","NA",0
"197",404," gewählt.

Ich habe CDU/CSU gewählt.","CDU/CSU",0
"198",404," meine Erststimme der CDU/CSU und meine Zweitstimme der AfD gegeben.","Erststimme CDU/CSU AfD",1
"199",405," gewählt. Ja, ich habe bei der Bundestagswahl 2017 gewählt und meine Z","NA",0
"200",407," meine Zweitstimme der Partei Die Linke gegeben.","Linke",0
"201",408," bei der Bundestagswahl 2017 nicht gewählt.","nicht",1
"202",409," meine Zweitstimme der SPD gegeben.","SPD",0
"203",412," meine Stimme nicht abgegeben, da ich nicht wählen durfte.","nicht nicht",1
"204",415," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei [INSERT] ge","NA",0
"205",419," im Jahr 2017 meine Stimme der Partei Bündnis90/Die Grünen gegeben.","Bündnis90 Grünen",0
"206",425," beide Stimmen für die SPD abgegeben.","SPD",0
"207",431," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei SPD gegeben.","SPD",0
"208",431,"2017[INSERT] leider nicht gewählt. Allerdings hätte ich meiner Meinung n","nicht",1
"209",432," tatsächlich bei der Bundestagswahl 2017 gewählt. Meine Erststimme ging an die","Erststimme",1
"210",433," gewählt und meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben.","Bündnis Grünen",0
"211",434," nicht bei der Bundestagswahl 2017 gewählt.","nicht",1
"212",435," gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"213",440," im Jahr 2017 nicht bei der Bundestagswahl gewählt.","nicht",1
"214",441," gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"215",442," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"216",442," Bundesland zur Wahlzeit gewählt.

Ja, ich habe bei der Bundestagswahl","NA",0
"217",443," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Grünen ge","Grünen",0
"218",444," nicht gewählt.","nicht",1
"219",444," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Linke gege","Linke",0
"220",447," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"221",448," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der FDP gegeben.","FDP",0
"222",450," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei DIE LINKE ge","LINKE",0
"223",453," gewählt und meine Zweitstimme [INSERT].

Ich habe 2017 bei der Bundestag","NA",0
"224",454," gewählt.

Ich habe bei der Bundestagswahl 2017 sowohl meine Erst- als","NA",0
"225",456," gewählt.","NA",0
"226",458," nicht gewählt, da ich zu der Zeit noch nicht wahlberechtigt war.","nicht nicht",1
"227",458," gewählt.

Ich habe sowohl meine Erststimme als auch meine Zweitstim","Erststimme",1
"228",458," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"229",463," bei der Bundestagswahl 2017 meine Stimme nicht abgegeben.","nicht",1
"230",463," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Parteienalternative Bü","Parteienalternative",0
"231",464," beide Stimmen der Partei Die Linke gegeben.","Linke",0
"232",465," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"233",465," bei der Bundestagswahl 2017 meine Zweitstimme der Partei [PARTEI NAME] gegeben.","NA",0
"234",466," 2017 meine Stimme der SPD gegeben.","SPD",0
"235",469,"Stimme gewählt. 

Ja, ich habe bei der Bundestagswahl 2017 gewä","NA",0
"236",471," meine Stimmen für die Grünen gegeben.","Grünen",0
"237",471," 2017 für die Partei Bündnis 90/Die Grünen gewählt.","Bündnis Grünen",0
"238",477," meine Zweitstimme der FDP gegeben.","FDP",0
"239",482," gewählt.

Ich habe für die SPD meine Zweitstimme gegeben.","SPD",0
"240",482," gewählt.","NA",0
"241",489," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"242",492," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"243",493," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"244",494," 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"245",495," gewählt.

Ja, ich habe bei der Bundestagswahl 2017 gewählt und me","NA",0
"246",501," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"247",501," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei [INSERT] ge","NA",0
"248",506,"wahl 2017 gewählt und meine Zweitstimme an die [INSERT] Partei gegeben.","NA",0
"249",506," tatsächlich gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"250",508," gewählt und meine Zweitstimme der Partei SPD gegeben.","SPD",0
"251",508," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"252",509," 2017 gewählt und meine Zweitstimme der CDU/CSU gegeben.","CDU/CSU",0
"253",510," gewählt.

Ja, ich habe bei der Bundestagswahl 2017 gewählt. Me","NA",0
"254",511," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"255",513," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"256",515," bei der Bundestagswahl 2017 nicht gewählt.","nicht",1
"257",516," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"258",517," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"259",518," gewählt.","NA",0
"260",518," 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der Partei Die Grünen ge","Grünen",0
"261",521," bei der Bundestagswahl 2017 nicht gewählt.","nicht",1
"262",521," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei AfD gegeben","AfD",0
"263",526," 2017 gewählt und meine Zweitstimme der Partei Die Grünen gegeben.","Grünen",0
"264",526," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der FDP gegeben.","FDP",0
"265",529," gewählt und meine Zweitstimme der [INSERT] Partei gegeben.","NA",0
"266",530," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"267",537," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme an die SPD gegeben.","SPD",0
"268",540," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"269",541," meine Zweitstimme der Partei Die Linke gegeben.","Linke",0
"270",544," gewählt.

Ich habe meine Zweitstimme der Partei Bündnis 90/Die Gr","Bündnis",0
"271",544," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"272",545," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"273",546," meine Stimme der Partei Bündnis 90/Die Grünen gegeben.","Bündnis Grünen",0
"274",547," nicht gewählt.","nicht",1
"275",548," meine Zweitstimme der SPD gegeben.","SPD",0
"276",548," bei der Wahl 2017 meine Stimme der CDU/CSU gegeben.","CDU/CSU",0
"277",548," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"278",551," nicht bei der Bundestagswahl 2017 gewählt.","nicht",1
"279",551," gewählt.","NA",0
"280",552," meine Stimme der CDU/CSU gegeben.","CDU/CSU",0
"281",553," gewählt.

Ja, ich habe 2017 bei der Bundestagswahl gewählt. Ich","NA",0
"282",555," bei der Bundestagswahl 2017 meine Zweitstimme der Partei Die Linke gegeben.","Linke",0
"283",556," bei der Bundestagswahl 2017 gewählt, und meine Zweitstimme habe ich der Partei","NA",0
"284",557," gewählt und meine Zweitstimme der FDP gegeben.","FDP",0
"285",560," meine Stimme gegeben.

Ich habe meine Stimme der Partei Die Linke gegeben.","Linke",0
"286",562," nicht gewählt.","nicht",1
"287",563," meine Stimme der SPD und meine Zweitstimme der AfD gegeben.","SPD AfD",1
"288",568," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"289",568," meine Stimme gegeben.","NA",0
"290",569," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei [INSERT] ge","NA",0
"291",571," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei [INSERT] ge","NA",0
"292",572," 2017 gewählt und meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben","Bündnis Grünen",0
"293",573," bei der Bundestagswahl 2017 gewählt und meine Stimme an die FDP gegeben.","FDP",0
"294",577," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"295",583," gewählt und meine zweite Stimme der SPD gegeben.","SPD",0
"296",584," für die Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Linke gege","Linke",0
"297",585," wählen 2017. Meine Zweitstimme ging an die Partei Die Linke.","Linke",0
"298",585," gewählt.","NA",0
"299",586," meiner Stimme gegeben.","NA",0
"300",587," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei [INSERT] ge","NA",0
"301",587," nicht gewählt.","nicht",1
"302",589," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"303",589," nicht gewählt.","nicht",1
"304",592," bei der Bundestagswahl 2017 meine Stimme gegeben und meine Zweitstimme der FDP gegeben","FDP",0
"305",592," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der FDP gegeben.","FDP",0
"306",594," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"307",594," gewählt und meine Zweitstimme der [INSERT] gegeben.","NA",0
"308",598," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei „Die Grü","NA",0
"309",599," meine Zweitstimme der Partei Die Linke gegeben.","Linke",0
"310",599," 2017 bei der Bundestagswahl meine Zweitstimme der Partei Die Linke gegeben.","Linke",0
"311",601," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"312",601," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"313",601," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Grünen ge","Grünen",0
